
Cluster 1 Activity:
    Hour 11: 1587
    Hour 12: 1317
    Hour 13: 1418
    Hour 14: 1463
    Hour 15: 1474
    Hour 16: 1530
    Hour 17: 1685
    Hour 18: 2029
    Hour 19: 1965
    Hour 20: 1826
    Hour 21: 1657
    Hour 22: 1414
    Hour 23: 1327
  Date: 2015-01-06
    Hour 00: 1237
    Hour 01: 1337
    Hour 02: 1376
    Hour 03: 834
    Hour 04: 608
    Hour 05: 452
    Hour 06: 335
    Hour 07: 318
    Hour 08: 548
    Hour 09: 927
    Hour 10: 1429
    Hour 11: 1699
    Hour 12: 1477
    Hour 13: 1539
    Hour 14: 1517
    Hour 15: 1469
    Hour 16: 1485
    Hour 17: 1553
    Hour 18: 1757
    Hour 19: 1795
    Hour 20: 1580
    Hour 21: 1371
    Hour 22: 1304
    Hour 23: 1115
  Date: 2015-01-07
    Hour 00: 1036
    Hour 01: 1089
    Hour 02: 1162
    Hour 03: 707
    Hour 04: 543
    Hour 05: 401
    Hour 06: 298
    Hour 07: 349
    Hour 08: 529
    Hour 09: 859
    Hour 10: 1190
    Hour 11: 1391
    Hour 12: 1201
    Hour 13: 1265
    Hour 14: 1372
    Hour 15: 1196
    Hour 16: 1293
    Hour 17: 1427
    Hour 18: 1893
    Hour 19: 1817
    Hour 20: 1764
    Hour 21: 1385
    Hour 22: 1277
    Hour 23: 1163

Cluster 4 Activity:
  Date: 2015-01-03
    Hour 03: 60
    Hour 04: 41
    Hour 05: 24
    Hour 06: 30
    Hour 07: 27
    Hour 08: 44
    Hour 09: 125
    Hour 10: 162
    Hour 11: 199
    Hour 12: 214
    Hour 13: 188
    Hour 14: 211
    Hour 15: 220
    Hour 16: 237
    Hour 17: 291
    Hour 18: 287
    Hour 19: 203
    Hour 20: 196
    Hour 21: 130
    Hour 22: 108
    Hour 23: 125
  Date: 2015-01-04
    Hour 00: 100
    Hour 01: 88
    Hour 02: 100
    Hour 03: 50
    Hour 04: 33
    Hour 05: 30
    Hour 06: 28
    Hour 07: 22
    Hour 08: 48
    Hour 09: 147
    Hour 10: 212
    Hour 11: 316
    Hour 12: 293
    Hour 13: 319
    Hour 14: 359
    Hour 15: 333
    Hour 16: 344
    Hour 17: 355
    Hour 18: 477
    Hour 19: 408
    Hour 20: 337
    Hour 21: 272
    Hour 22: 210
    Hour 23: 193
  Date: 2015-01-05
    Hour 00: 212
    Hour 01: 207
    Hour 02: 179
    Hour 03: 93
    Hour 04: 61
    Hour 05: 57
    Hour 06: 42
    Hour 07: 47
    Hour 08: 105
    Hour 09: 216
    Hour 10: 313
    Hour 11: 384
    Hour 12: 361
    Hour 13: 328
    Hour 14: 300
    Hour 15: 325
    Hour 16: 281
    Hour 17: 341
    Hour 18: 392
    Hour 19: 340
    Hour 20: 317
    Hour 21: 328
    Hour 22: 209
    Hour 23: 219
  Date: 2015-01-06
    Hour 00: 221
    Hour 01: 164
    Hour 02: 151
    Hour 03: 91
    Hour 04: 60
    Hour 05: 51
    Hour 06: 63
    Hour 07: 51
    Hour 08: 95
    Hour 09: 201
    Hour 10: 368
    Hour 11: 519
    Hour 12: 430
    Hour 13: 368
    Hour 14: 334
    Hour 15: 327
    Hour 16: 285
    Hour 17: 316
    Hour 18: 383
    Hour 19: 359
    Hour 20: 282
    Hour 21: 243
    Hour 22: 174
    Hour 23: 152
  Date: 2015-01-07
    Hour 00: 174
    Hour 01: 149
    Hour 02: 149
    Hour 03: 109
    Hour 04: 69
    Hour 05: 55
    Hour 06: 44
    Hour 07: 46
    Hour 08: 86
    Hour 09: 184
    Hour 10: 255
    Hour 11: 348
    Hour 12: 303
    Hour 13: 323
    Hour 14: 299
    Hour 15: 316
    Hour 16: 278
    Hour 17: 298
    Hour 18: 349
    Hour 19: 378
    Hour 20: 308
    Hour 21: 204
    Hour 22: 179
    Hour 23: 167

Cluster 5 Activity:
  Date: 2015-01-03
    Hour 03: 360
    Hour 04: 280
    Hour 05: 178
    Hour 06: 148
    Hour 07: 115
    Hour 08: 206
    Hour 09: 309
    Hour 10: 586
    Hour 11: 801
    Hour 12: 770
    Hour 13: 896
    Hour 14: 921
    Hour 15: 927
    Hour 16: 885
    Hour 17: 881
    Hour 18: 914
    Hour 19: 962
    Hour 20: 1070
    Hour 21: 1069
    Hour 22: 935
    Hour 23: 834
  Date: 2015-01-04
    Hour 00: 641
    Hour 01: 663
    Hour 02: 660
    Hour 03: 375
    Hour 04: 310
    Hour 05: 212
    Hour 06: 157
    Hour 07: 143
    Hour 08: 222
    Hour 09: 478
    Hour 10: 1111
    Hour 11: 1430
    Hour 12: 1208
    Hour 13: 1715
    Hour 14: 1922
    Hour 15: 1856
    Hour 16: 1857
    Hour 17: 1868
    Hour 18: 2074
    Hour 19: 2028
    Hour 20: 2667
    Hour 21: 2276
    Hour 22: 1725
    Hour 23: 1394
  Date: 2015-01-05
    Hour 00: 1256
    Hour 01: 1152
    Hour 02: 1362
    Hour 03: 766
    Hour 04: 578
    Hour 05: 363
    Hour 06: 276
    Hour 07: 267
    Hour 08: 422
    Hour 09: 760
    Hour 10: 1687
    Hour 11: 2554
    Hour 12: 2233
    Hour 13: 2101
    Hour 14: 1826
    Hour 15: 1761
    Hour 16: 1737
    Hour 17: 1792
    Hour 18: 1744
    Hour 19: 2023
    Hour 20: 2546
    Hour 21: 2101
    Hour 22: 1746
    Hour 23: 1437
  Date: 2015-01-06
    Hour 00: 1253
    Hour 01: 1246
    Hour 02: 1276
    Hour 03: 731
    Hour 04: 535
    Hour 05: 408
    Hour 06: 295
    Hour 07: 287
    Hour 08: 395
    Hour 09: 854
    Hour 10: 2216
    Hour 11: 2684
    Hour 12: 2181
    Hour 13: 2209
    Hour 14: 1948
