
Cluster 1:
    Hour 20: 72247
    Hour 21: 65809
    Hour 22: 56434
    Hour 23: 59061
  Date: 2015-01-05
    Hour 00: 55188
    Hour 01: 47782
    Hour 02: 33117
    Hour 03: 25626
    Hour 04: 16038
    Hour 05: 9989
    Hour 06: 7980
    Hour 07: 8791
    Hour 08: 16709
    Hour 09: 36585
    Hour 10: 54350
    Hour 11: 59069
    Hour 12: 52506
    Hour 13: 49902
    Hour 14: 52299
    Hour 15: 53131
    Hour 16: 55527
    Hour 17: 59141
    Hour 18: 66237
    Hour 19: 72572
    Hour 20: 66914
    Hour 21: 59740
    Hour 22: 53097
    Hour 23: 52963
  Date: 2015-01-06
    Hour 00: 52640
    Hour 01: 46156
    Hour 02: 31490
    Hour 03: 25015
    Hour 04: 14630
    Hour 05: 9567
    Hour 06: 7810
    Hour 07: 8609
    Hour 08: 16425
    Hour 09: 37710
    Hour 10: 52532
    Hour 11: 57541
    Hour 12: 51746
    Hour 13: 50155
    Hour 14: 50065
    Hour 15: 51331
    Hour 16: 51189
    Hour 17: 57709
    Hour 18: 65386
    Hour 19: 75903
    Hour 20: 67506
    Hour 21: 69722
    Hour 22: 60933
    Hour 23: 56083
  Date: 2015-01-07
    Hour 00: 53761
    Hour 01: 45037
    Hour 02: 32145
    Hour 03: 23000
    Hour 04: 14626
    Hour 05: 10159
    Hour 06: 8064
    Hour 07: 9633
    Hour 08: 18001
    Hour 09: 42649
    Hour 10: 56631
    Hour 11: 59566
    Hour 12: 55149
    Hour 13: 53979
    Hour 14: 52610
    Hour 15: 54245
    Hour 16: 55571
    Hour 17: 61588
    Hour 18: 73393
    Hour 19: 78790
    Hour 20: 72489
    Hour 21: 68073
    Hour 22: 58180
    Hour 23: 55756

Cluster 4:
  Date: 2015-01-03
    Hour 03: 2286
    Hour 04: 1087
    Hour 05: 800
    Hour 06: 692
    Hour 07: 710
    Hour 08: 1687
    Hour 09: 5139
    Hour 10: 7401
    Hour 11: 8426
    Hour 12: 7150
    Hour 13: 7212
    Hour 14: 7120
    Hour 15: 7418
    Hour 16: 8555
    Hour 17: 8301
    Hour 18: 9212
    Hour 19: 8156
    Hour 20: 7049
    Hour 21: 5827
    Hour 22: 4557
    Hour 23: 5453
  Date: 2015-01-04
    Hour 00: 4954
    Hour 01: 4050
    Hour 02: 2876
    Hour 03: 1663
    Hour 04: 1207
    Hour 05: 657
    Hour 06: 704
    Hour 07: 839
    Hour 08: 2202
    Hour 09: 5434
    Hour 10: 7251
    Hour 11: 9779
    Hour 12: 8666
    Hour 13: 11315
    Hour 14: 12357
    Hour 15: 13008
    Hour 16: 13473
    Hour 17: 14378
    Hour 18: 16577
    Hour 19: 16512
    Hour 20: 14050
    Hour 21: 12636
    Hour 22: 9946
    Hour 23: 9882
  Date: 2015-01-05
    Hour 00: 10961
    Hour 01: 9207
    Hour 02: 5969
    Hour 03: 3736
    Hour 04: 2191
    Hour 05: 1697
    Hour 06: 1061
    Hour 07: 1474
    Hour 08: 3354
    Hour 09: 8460
    Hour 10: 13042
    Hour 11: 14906
    Hour 12: 14345
    Hour 13: 12167
    Hour 14: 11635
    Hour 15: 12386
    Hour 16: 12329
    Hour 17: 12772
    Hour 18: 14397
    Hour 19: 13420
    Hour 20: 13012
    Hour 21: 12778
    Hour 22: 9415
    Hour 23: 8972
  Date: 2015-01-06
    Hour 00: 10155
    Hour 01: 7279
    Hour 02: 5401
    Hour 03: 3502
    Hour 04: 1922
    Hour 05: 1392
    Hour 06: 1224
    Hour 07: 1387
    Hour 08: 3326
    Hour 09: 8727
    Hour 10: 12998
    Hour 11: 16400
    Hour 12: 15240
    Hour 13: 13043
    Hour 14: 11727
    Hour 15: 11496
    Hour 16: 13631
    Hour 17: 13764
    Hour 18: 15802
    Hour 19: 17584
    Hour 20: 14541
    Hour 21: 13645
    Hour 22: 11402
    Hour 23: 9517
  Date: 2015-01-07
    Hour 00: 10356
    Hour 01: 9044
    Hour 02: 6027
    Hour 03: 3815
    Hour 04: 2209
    Hour 05: 1597
    Hour 06: 1428
    Hour 07: 1638
    Hour 08: 3440
    Hour 09: 9531
    Hour 10: 14120
    Hour 11: 17315
    Hour 12: 15683
    Hour 13: 14006
    Hour 14: 11510
    Hour 15: 13200
    Hour 16: 13923
    Hour 17: 13945
    Hour 18: 16123
    Hour 19: 16014
    Hour 20: 15263
    Hour 21: 12936
    Hour 22: 9872
    Hour 23: 9730

Cluster 5:
  Date: 2015-01-03
    Hour 03: 14972
    Hour 04: 9680
    Hour 05: 6529
    Hour 06: 4643
    Hour 07: 4907
    Hour 08: 8215
    Hour 09: 16426
    Hour 10: 29332
    Hour 11: 34478
    Hour 12: 33975
    Hour 13: 33327
    Hour 14: 33168
    Hour 15: 35061
    Hour 16: 34779
    Hour 17: 36948
    Hour 18: 38331
    Hour 19: 45771
    Hour 20: 48132
    Hour 21: 44945
    Hour 22: 41211
    Hour 23: 36678
  Date: 2015-01-04
    Hour 00: 33981
    Hour 01: 27318
    Hour 02: 20243
    Hour 03: 15171
    Hour 04: 9301
    Hour 05: 6876
    Hour 06: 4914
    Hour 07: 4901
    Hour 08: 9891
    Hour 09: 22017
    Hour 10: 41001
    Hour 11: 49608
    Hour 12: 41491
    Hour 13: 64714
    Hour 14: 73305
    Hour 15: 75153
    Hour 16: 77520
    Hour 17: 79088
    Hour 18: 78114
    Hour 19: 84284
    Hour 20: 94590
    Hour 21: 94447
    Hour 22: 79722
    Hour 23: 72190
  Date: 2015-01-05
    Hour 00: 69062
    Hour 01: 57036
    Hour 02: 42547
    Hour 03: 31641
    Hour 04: 18794
    Hour 05: 12911
    Hour 06: 8631
    Hour 07: 9332
    Hour 08: 17495
    Hour 09: 37749
    Hour 10: 72887
    Hour 11: 93608
    Hour 12: 85029
    Hour 13: 75309
    Hour 14: 70526
    Hour 15: 72352
    Hour 16: 75219
    Hour 17: 74503
    Hour 18: 73354
    Hour 19: 87159
    Hour 20: 93018
    Hour 21: 84303
    Hour 22: 75327
    Hour 23: 65835
  Date: 2015-01-06
    Hour 00: 62787
    Hour 01: 51909
    Hour 02: 38508
    Hour 03: 28190
    Hour 04: 16826
    Hour 05: 12583
    Hour 06: 9099
    Hour 07: 9313
    Hour 08: 16948
    Hour 09: 41766
    Hour 10: 75938
    Hour 11: 90290
    Hour 12: 80081
    Hour 13: 72020
    Hour 14: 69296
    Hour 15: 68880
    Hour 16: 73309
    Hour 17: 77925
    Hour 18: 78325
    Hour 19: 89706
    Hour 20: 100993
    Hour 21: 101383
    Hour 22: 79317
    Hour 23: 72147
  Date: 2015-01-07
    Hour 00: 66919
    Hour 01: 55789
    Hour 02: 39799
    Hour 03: 30569
    Hour 04: 19969
    Hour 05: 13549
    Hour 06: 8512
    Hour 07: 9582
    Hour 08: 18107
    Hour 09: 43314
    Hour 10: 82181
    Hour 11: 95419
    Hour 12: 87365
    Hour 13: 77404
    Hour 14: 75058
    Hour 15: 74877
    Hour 16: 79643
    Hour 17: 83244
    Hour 18: 82918
    Hour 19: 92685
    Hour 20: 98467
    Hour 21: 95964
    Hour 22: 80719
    Hour 23: 68557

Cluster 6:
  Date: 2015-01-03
    Hour 03: 22266
    Hour 04: 14207
    Hour 05: 9898
    Hour 06: 6889
    Hour 07: 8107
    Hour 08: 13941
    Hour 09: 30622
    Hour 10: 48932
    Hour 11: 63696
    Hour 12: 67749
    Hour 13: 65205
    Hour 14: 59145
    Hour 15: 51853
    Hour 16: 53448
    Hour 17: 51479
    Hour 18: 47861
    Hour 19: 53457
    Hour 20: 54443
    Hour 21: 54677
    Hour 22: 52721
    Hour 23: 49501
  Date: 2015-01-04
    Hour 00: 48878
    Hour 01: 39850
    Hour 02: 27984
    Hour 03: 18843
    Hour 04: 11369
    Hour 05: 8417
    Hour 06: 6059
    Hour 07: 7043
    Hour 08: 14226
    Hour 09: 36957
    Hour 10: 49459
    Hour 11: 54345
    Hour 12: 61644
    Hour 13: 100225
    Hour 14: 115699
    Hour 15: 105616
    Hour 16: 107688
    Hour 17: 107027
    Hour 18: 100990
    Hour 19: 106349
    Hour 20: 96003
    Hour 21: 103808
    Hour 22: 97924
    Hour 23: 98805
  Date: 2015-01-05
    Hour 00: 92236
    Hour 01: 77078
    Hour 02: 55246
    Hour 03: 37551
    Hour 04: 23411
    Hour 05: 15015
    Hour 06: 10906
    Hour 07: 13671
    Hour 08: 27448
    Hour 09: 68594
    Hour 10: 98223
    Hour 11: 116823
    Hour 12: 135456
    Hour 13: 129092
    Hour 14: 128341
    Hour 15: 116966
    Hour 16: 115567
    Hour 17: 112853
    Hour 18: 99636
    Hour 19: 104141
    Hour 20: 104849
    Hour 21: 104085
    Hour 22: 97150
    Hour 23: 97072
  Date: 2015-01-06
    Hour 00: 90409
    Hour 01: 72942
    Hour 02: 51893
    Hour 03: 37686
    Hour 04: 22519
    Hour 05: 15860
    Hour 06: 11871
    Hour 07: 12979
    Hour 08: 25937
    Hour 09: 71253
    Hour 10: 102969
    Hour 11: 111898
    Hour 12: 125068
    Hour 13: 122797
    Hour 14: 116817
    Hour 15: 111815
    Hour 16: 112716
    Hour 17: 115145
    Hour 18: 105672
    Hour 19: 112268
    Hour 20: 103336
    Hour 21: 104551
    Hour 22: 105901
    Hour 23: 101338
  Date: 2015-01-07
    Hour 00: 95513
    Hour 01: 76446
    Hour 02: 55986
    Hour 03: 39042
    Hour 04: 24348
    Hour 05: 15895
    Hour 06: 12401
    Hour 07: 13868
    Hour 08: 29534
    Hour 09: 75102
    Hour 10: 118416
    Hour 11: 125310
    Hour 12: 147578
    Hour 13: 151544
    Hour 14: 132815
    Hour 15: 133536
    Hour 16: 127511
    Hour 17: 125759
    Hour 18: 108390
    Hour 19: 109916
    Hour 20: 109542
    Hour 21: 106333
    Hour 22: 106636
    Hour 23: 98733

Cluster 7:
